AUTHORS,TITLE,JOURNAL,DOI,SPECIES,Strain,LitterSize.Mean,LitterSize.SE,N,Location,Origin.Lat,Origin.Long,TEMP_DegreeOfSeasonality,TEMP_Amplitude,TEMP_Predictability,PRECIP_DegreeOfSeasonality,PRECIP_Amplitude,PRECIP_Predictability,NP_DegreeOfSeasonality,NP_Amplitude,NP_Predictability,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,DD1040
"EARLE, M; LAVIGNE, DM","INTRASPECIFIC VARIATION IN BODY SIZE, METABOLIC-RATE, AND REPRODUCTION OF DEER MICE (PEROMYSCUS-MANICULATUS)",CANADIAN JOURNAL OF ZOOLOGY,10.1139/z90-054,P. maniculatus,UNK,4.5,0.238592363,19,"Moresby Island, BC",48.716667,-123.333333,0.57,12.904,0.934,0.754,10.528,0.806,0.901,6.287,0.892,10,16.9,3.8,13.1,832,151,24.1,111.8,88,2057,2989,75,310,86,316,880
"EARLE, M; LAVIGNE, DM","INTRASPECIFIC VARIATION IN BODY SIZE, METABOLIC-RATE, AND REPRODUCTION OF DEER MICE (PEROMYSCUS-MANICULATUS)",CANADIAN JOURNAL OF ZOOLOGY,10.1139/z90-054,P. maniculatus,UNK,5.7,0.178267525,29,"Milk River, AB",49.11,-111.75,0.679,27.101,0.924,0.403,1.863,0.682,0.686,1.924,0.819,5.4,18.9,-9.5,28.3,330,221,46.6,85.5,911,1771,4715,131,170,139,259,898
"EARLE, M; LAVIGNE, DM","INTRASPECIFIC VARIATION IN BODY SIZE, METABOLIC-RATE, AND REPRODUCTION OF DEER MICE (PEROMYSCUS-MANICULATUS)",CANADIAN JOURNAL OF ZOOLOGY,10.1139/z90-054,P. maniculatus,UNK,5.7,0.215812419,23,"Milk River, AB",49.11,-111.75,0.679,27.101,0.924,0.403,1.863,0.682,0.686,1.924,0.819,5.4,18.9,-9.5,28.3,330,221,46.6,85.5,911,1771,4715,131,170,139,259,898
"MILLAR, JS","LIFE-CYCLE CHARACTERISTICS OF ""PEROMYSCUS-MANICULATUS-NEBRASCENSIS",CANADIAN JOURNAL OF ZOOLOGY,10.1139/z85-191,P. maniculatus,UNK,5.14,0.14,104,"Milk River, AB",49,-111,0.693,28.151,0.935,0.365,2.094,0.591,0.712,2.186,0.841,5.4,18.5,-8.5,27,346,227,44.5,81.7,834,1707,4675,112,171,141,260,848
"MILLAR, JS",LIFE-CYCLE CHARACTERISTICS OF NORTHERN PEROMYSCUS-MANICULATUS-BOREALIS,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,10.1139/z82-076,P. maniculatus,UNK,5.03,0.18,98,"Great Slave Lake, NWT, Canada",61.52314,-115.968762,0.806,40.406,0.964,0.087,1.064,0.103,0.779,3.058,0.888,-4.5,15.5,-26.7,42.1,314,169,17.5,91.7,3336,981,8185,21,131,146,250,385
"MILLAR, JS; THREADGILL, DAL",THE EFFECT OF CAPTIVITY ON REPRODUCTION AND DEVELOPMENT IN PEROMYSCUS-MANICULATUS,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,10.1139/z87-264,P. maniculatus,UNK,5.3,0.1,172,"Milk River, AB",49.11,-111.75,0.679,27.101,0.924,0.403,1.863,0.682,0.686,1.924,0.819,5.4,18.9,-9.5,28.3,330,221,46.6,85.5,911,1771,4715,131,170,139,259,898
NA,NA,NA,NA,P. maniculatus,SW,5.615384615,0.537545008,13,,44.275,-124.035,0.554,12.602,0.906,0.596,7.014,0.725,0.935,6.109,0.946,10.4,16.3,4.7,11.6,2324,315,8.8,51.7,67,2123,2835,61,309,97,319,868
NA,NA,NA,NA,P. maniculatus,BK,5.394736842,0.18456107,76,,44.824,-117.626,0.657,23.024,0.945,0.2,1.776,0.282,0.57,1.628,0.679,8.2,20,-3.2,23.2,302,121,60.4,164.7,351,2021,3734,177,195,141,265,1032
NA,NA,NA,NA,P. maniculatus,LB,4.597222222,0.213638758,72,,40.869465,-96.68956,0.694,28.299,0.935,0.25,3.529,0.264,0.354,3.414,0.304,10.6,25.4,-5.5,30.9,742,476,27.8,53.5,469,3063,3337,666,211,113,285,1873
NA,NA,NA,NA,P. maniculatus_BW,BW,3.787321063,0.064989078,489,,42.272934,-83.746273,0.681,28.433,0.906,NA,NA,NA,0.765,5.394,0.755,9.2,22.4,-5,27.5,810,399,23.7,56.3,487,2595,3578,402,196,125,284,1486
