Pair ID,Species,Strain,StrainType,Generation,LOC,F_ID,M_ID,Npup,N_M,N_F,BirthDate,Wean Date,Parity,IBI,PrevLitterSize,Notes
24,PECA,IS,STOCK,NA,UCD,24,,3,1,2,10/10/10,,1,,NA,
24,PECA,IS,STOCK,NA,UCD,24,,1,1,0,11/12/10,,2,33,3,
24,PECA,IS,STOCK,NA,UCD,24,,2,1,1,1/13/11,,3,62,1,
24,PECA,IS,STOCK,NA,UCD,24,,2,1,1,2/17/11,,4,35,2,
24,PECA,IS,STOCK,NA,UCD,24,,1,0,1,4/19/11,,5,61,2,
29,PECA,IS,STOCK,NA,UCD,29,,2,2,0,10/14/10,,1,,NA,
29,PECA,IS,STOCK,NA,UCD,29,,3,2,1,11/17/10,,2,34,2,
29,PECA,IS,STOCK,NA,UCD,29,,2,2,0,1/19/11,,3,63,3,
29,PECA,IS,STOCK,NA,UCD,29,,1,1,0,3/29/11,,4,69,2,
29,PECA,IS,STOCK,NA,UCD,29,,3,1,2,6/3/11,,5,66,1,
50,PECA,IS,STOCK,NA,UCD,50,,1,0,1,12/1/10,,1,,NA,
50,PECA,IS,STOCK,NA,UCD,50,,3,1,2,12/30/10,,2,29,1,
50,PECA,IS,STOCK,NA,UCD,50,,1,0,1,2/7/11,,3,39,3,
51,PECA,IS,STOCK,NA,UCD,51,,3,3,0,9/27/10,,1,,NA,
51,PECA,IS,STOCK,NA,UCD,51,,2,1,1,11/4/10,,2,38,3,
51,PECA,IS,STOCK,NA,UCD,51,,3,1,2,2/16/11,,3,104,2,
51,PECA,IS,STOCK,NA,UCD,51,,2,0,2,3/28/11,,4,40,3,
51,PECA,IS,STOCK,NA,UCD,51,,3,1,2,5/4/11,,5,37,2,
51,PECA,IS,STOCK,NA,UCD,51,,3,1,2,6/7/11,,6,34,3,
54,PECA,IS,STOCK,NA,UCD,54,,2,0,2,9/30/10,,1,,NA,
54,PECA,IS,STOCK,NA,UCD,54,,2,1,1,11/2/10,,2,33,2,
54,PECA,IS,STOCK,NA,UCD,54,,3,1,2,12/6/10,,3,34,2,
54,PECA,IS,STOCK,NA,UCD,54,,3,2,1,1/10/11,,4,35,3,
54,PECA,IS,STOCK,NA,UCD,54,,3,1,2,2/15/11,,5,36,3,
54,PECA,IS,STOCK,NA,UCD,54,,2,2,0,3/25/11,,6,38,3,
54,PECA,IS,STOCK,NA,UCD,54,,2,1,1,4/26/11,,7,32,2,
54,PECA,IS,STOCK,NA,UCD,54,,1,0,1,5/30/11,,8,34,2,
56,PECA,IS,STOCK,NA,UCD,56,,2,2,0,10/4/10,,1,,NA,
56,PECA,IS,STOCK,NA,UCD,56,,3,1,2,11/4/10,,2,31,2,
56,PECA,IS,STOCK,NA,UCD,56,,3,2,1,12/27/10,,3,53,3,
56,PECA,IS,STOCK,NA,UCD,56,,2,1,1,1/27/11,,4,31,3,
60,PECA,IS,STOCK,NA,UCD,60,,3,2,1,10/4/10,,1,,NA,
60,PECA,IS,STOCK,NA,UCD,60,,4,3,1,11/8/10,,2,35,3,
